player_name,salary
Brandon Williams,"$180,798"
Moses Wright,"$172,821"
DeJon Jarreau,"$172,821"
Dakota Mathias,"$171,156"
Matt Mooney,"$171,156"
Daulton Hommes,"$167,504"
Grant Riller,"$162,186"
Lindy Waters III,"$159,527"
Joe Johnson,"$151,821"
CJ Miles,"$151,821"
Ersan Ilyasova,"$151,821"
Darren Collison,"$151,821"
Anthony Tolliver,"$151,821"
Chaundee Brown,"$151,552"
Xavier Sneed,"$146,233"
Mario Chalmers,"$138,019"
Anthony Lamb,"$136,095"
Braxton Key,"$127,622"
Troy Williams,"$122,741"
Feron Hunt,"$116,987"
Mac McClung,"$111,670"
Matt Ryan,"$111,669"
Emmanuel Mudiay,"$111,457"
Carlik Jones,"$106,352"
Hassani Gravett,"$106,352"
Paris Bass,"$106,352"
Jordan Bell,"$102,831"
Cheick Diallo,"$102,831"
DJ Stewart,"$101,034"
Nate Hinton,"$96,213"
Derrick Walton,"$95,930"
DaQuan Jeffries,"$95,930"
Justin James,"$95,930"
Scotty Hopson,"$95,930"
BJ Johnson,"$95,930"
Jaylen Morris,"$95,930"
Demetrius Jackson,"$92,857"
Chris Clemons,"$85,578"
Cameron Oliver,"$85,578"
Malik Newman,"$85,578"
George King,"$85,578"
Jemerrio Jones,"$85,578"
Emanuel Terry,"$85,578"
Jared Harper,"$85,081"
Gabriel Lundberg,"$79,764"
Anthony Barber,"$53,176"
Malik Ellison,"$53,176"
Justin Tillman,"$53,176"
Tre Scott,"$53,176"
Jaysean Paige,"$53,176"
Trayvon Palmer,"$53,176"
Micah Potter,"$53,176"
Ahmad Caver,"$53,176"
Shaq Buchanan,"$53,176"
Jon Teske,"$53,176"
Aric Holman,"$53,176"
Javin DeLaurier,"$53,176"
Tyler Hall,"$53,176"
Rob Edwards,"$53,176"
Aleem Ford,"$53,176"
MJ Walker,"$53,176"
Jarron Cumberland,"$53,176"
Cameron McGriff,"$53,176"
Ade Murkey,"$53,176"
Jaime Echenique,"$53,176"
Jordan Goodwin,"$53,176"
Jordan Schakel,"$53,176"
Craig Sword,"$53,176"
Luca Vildoza,"$42,789"
Zavier Simpson,"$37,223"
Mfiondu Kabengele,"$19,186"
Melvin Frazier,"$13,294"
